p hbefore scorrect swrong sexpected hcorrect hwrong hexpected
0.619024 10.5283 0.485472 3.39221 1.31603 4.39281 14 7.13793
0.62153 10.4845 0.481681 3.40173 1.31056 4.36219 14 7.09795
0.624035 10.4404 0.4779 3.41131 1.30506 4.33163 14 7.0579
0.626541 10.3962 0.474128 3.42096 1.29953 4.30115 14 7.01778
0.629047 10.3518 0.470367 3.43067 1.29398 4.27072 14 6.97759
0.631553 10.3072 0.466616 3.44045 1.2884 4.24036 14 6.93734
0.634058 10.2624 0.462874 3.45029 1.2828 4.21007 14 6.89702
0.636564 10.2174 0.459142 3.46021 1.27717 4.17983 14 6.85662
0.63907 10.1722 0.455419 3.47019 1.27152 4.14966 14 6.81616
0.641576 10.1267 0.451706 3.48024 1.26584 4.11955 14 6.77564
0.644081 10.0811 0.448003 3.49036 1.26014 4.0895 14 6.73504
0.646587 10.0353 0.444309 3.50055 1.25441 4.05952 14 6.69438
0.649093 9.98921 0.440624 3.51082 1.24865 4.02959 14 6.65364
0.651599 9.94294 0.436949 3.52116 1.24287 3.99972 14 6.61284
0.654105 9.89647 0.433283 3.53157 1.23706 3.96991 14 6.57197
0.65661 9.84978 0.429627 3.54206 1.23122 3.94016 14 6.53103
0.659116 9.80287 0.42598 3.55263 1.22536 3.91047 14 6.49003
0.661622 9.75576 0.422342 3.56327 1.21947 3.88083 14 6.44895
0.664128 9.70843 0.418713 3.57399 1.21355 3.85125 14 6.40781
0.666633 9.66088 0.415093 3.5848 1.20761 3.82173 14 6.36659
0.669139 9.61312 0.411482 3.59568 1.20164 3.79226 14 6.32531
0.671645 9.56513 0.40788 3.60665 1.19564 3.76285 14 6.28396
0.674151 9.51693 0.404288 3.6177 1.18962 3.73349 14 6.24253
0.676656 9.46851 0.400704 3.62884 1.18356 3.70419 14 6.20104
0.679162 9.41986 0.397129 3.64006 1.17748 3.67494 14 6.15948
0.681668 9.37099 0.393563 3.65137 1.17137 3.64574 14 6.11785
0.684174 9.3219 0.390006 3.66277 1.16524 3.6166 14 6.07615
0.686679 9.27258 0.386457 3.67427 1.15907 3.5875 14 6.03438
0.689185 9.22304 0.382917 3.68585 1.15288 3.55846 14 5.99254
0.691691 9.17326 0.379386 3.69753 1.14666 3.52947 14 5.95062
0.694197 9.12326 0.375863 3.7093 1.14041 3.50053 14 5.90864
0.696703 9.07303 0.372349 3.72117 1.13413 3.47163 14 5.86659
0.699208 9.02256 0.368844 3.73314 1.12782 3.44279 14 5.82447
0.701714 8.97186 0.365347 3.74521 1.12148 3.41399 14 5.78227
0.70422 8.92093 0.361859 3.75738 1.11512 3.38524 14 5.74
0.706726 8.86976 0.358378 3.76965 1.10872 3.35654 14 5.69767
0.709231 8.81835 0.354907 3.78203 1.10229 3.32788 14 5.65526
0.711737 8.76671 0.351443 3.79452 1.09584 3.29927 14 5.61278
0.714243 8.71482 0.347988 3.80712 1.08935 3.27071 14 5.57022
0.716749 8.66269 0.344542 3.81982 1.08284 3.24219 14 5.5276
0.719254 8.61032 0.341103 3.83264 1.07629 3.21371 14 5.4849
0.72176 8.5577 0.337672 3.84558 1.06971 3.18528 14 5.44213
0.724266 8.50484 0.33425 3.85863 1.0631 3.15689 14 5.39928
0.726772 8.45172 0.330836 3.8718 1.05647 3.12854 14 5.35637
0.729277 8.39836 0.32743 3.88509 1.0498 3.10023 14 5.31337
0.731783 8.34475 0.324032 3.89851 1.04309 3.07196 14 5.27031
0.734289 8.29088 0.320642 3.91205 1.03636 3.04374 14 5.22717
0.736795 8.23675 0.317259 3.92572 1.02959 3.01555 14 5.18396
0.739301 8.18237 0.313885 3.93952 1.0228 2.9874 14 5.14067
0.741806 8.12773 0.310519 3.95345 1.01597 2.95929 14 5.09731
0.744312 8.07283 0.30716 3.96752 1.0091 2.93122 14 5.05387
0.746818 8.01767 0.303809 3.98173 1.00221 2.90318 14 5.01035
0.749324 7.96224 0.300466 3.99608 0.995279 2.87518 14 4.96676
0.751829 7.90654 0.297131 4.01057 0.988317 2.84722 14 4.9231
0.754335 7.85057 0.293804 4.02521 0.981322 2.81929 14 4.87935
0.756841 7.79434 0.290484 4.04001 0.974292 2.79139 14 4.83553
0.759347 7.73783 0.287171 4.05495 0.967228 2.76353 14 4.79163
0.761852 7.68104 0.283867 4.07005 0.96013 2.7357 14 4.74766
0.764358 7.62398 0.28057 4.08531 0.952997 2.70791 14 4.7036
0.766864 7.56663 0.27728 4.10073 0.945829 2.68014 14 4.65947
0.76937 7.50901 0.273998 4.11632 0.938626 2.65241 14 4.61526
0.771875 7.45109 0.270723 4.13208 0.931387 2.6247 14 4.57097
0.774381 7.39289 0.267456 4.14802 0.924112 2.59702 14 4.5266
0.776887 7.33441 0.264196 4.16413 0.916801 2.56938 14 4.48215
0.779393 7.27562 0.260943 4.18043 0.909453 2.54175 14 4.43761
0.781898 7.21655 0.257698 4.19691 0.902068 2.51416 14 4.393
0.784404 7.15717 0.25446 4.21358 0.894647 2.48659 14 4.3483
0.78691 7.0975 0.25123 4.23044 0.887187 2.45905 14 4.30352
0.789416 7.03752 0.248006 4.24751 0.87969 2.43153 14 4.25866
0.791922 6.97723 0.24479 4.26478 0.872154 2.40404 14 4.21372
0.794427 6.91664 0.241581 4.28226 0.86458 2.37657 14 4.16869
0.796933 6.85573 0.238379 4.29995 0.856966 2.34912 14 4.12358
0.799439 6.79451 0.235184 4.31786 0.849313 2.32169 14 4.07838
0.801945 6.73296 0.231996 4.336 0.841621 2.29428 14 4.03309
0.80445 6.6711 0.228815 4.35437 0.833887 2.26689 14 3.98772
0.806956 6.60891 0.225641 4.37298 0.826114 2.23952 14 3.94226
0.809462 6.54639 0.222474 4.39183 0.818299 2.21216 14 3.89671
0.811968 6.48354 0.219314 4.41093 0.810442 2.18483 14 3.85108
0.814473 6.42035 0.216161 4.43028 0.802543 2.15751 14 3.80535
0.816979 6.35682 0.213015 4.4499 0.794602 2.1302 14 3.75954
0.819485 6.29295 0.209876 4.46979 0.786618 2.1029 14 3.71363
0.821991 6.22872 0.206743 4.48995 0.77859 2.07562 14 3.66764
0.824496 6.16415 0.203618 4.51041 0.770519 2.04835 14 3.62155
0.827002 6.09922 0.200499 4.53115 0.762402 2.0211 14 3.57536
0.829508 6.03393 0.197386 4.5522 0.754241 1.99385 14 3.52908
0.832014 5.96827 0.194281 4.57356 0.746034 1.9666 14 3.48271
0.83452 5.90224 0.191182 4.59525 0.73778 1.93937 14 3.43624
0.837025 5.83584 0.18809 4.61726 0.72948 1.91214 14 3.38968
0.839531 5.76906 0.185004 4.63961 0.721132 1.88492 14 3.34301
0.842037 5.70189 0.181925 4.66232 0.712736 1.8577 14 3.29625
0.844543 5.63433 0.178853 4.68539 0.704291 1.83048 14 3.24938
0.847048 5.56638 0.175787 4.70883 0.695797 1.80327 14 3.20242
